ts,open,high,low,close,volume
2025-03-10 00:00:00-04:00,79.62999725341797,83.02999877929688,79.19000244140625,79.91000366210938,4751900
2025-03-11 00:00:00-04:00,79.9000015258789,80.05000305175781,76.7300033569336,76.87000274658203,4279100
2025-03-12 00:00:00-04:00,76.91999816894531,77.22000122070312,75.69000244140625,76.86000061035156,3845000
2025-03-13 00:00:00-04:00,76.62000274658203,77.56999969482422,75.20999908447266,75.44000244140625,3124200
2025-03-14 00:00:00-04:00,76.43000030517578,78.91999816894531,75.77999877929688,78.7300033569336,2874400
2025-03-17 00:00:00-04:00,78.66999816894531,80.7699966430664,78.6500015258789,80.1500015258789,4154800
2025-03-18 00:00:00-04:00,79.38999938964844,80.47000122070312,78.30000305175781,78.36000061035156,2733700
2025-03-19 00:00:00-04:00,78.2300033569336,80.01000213623047,77.95999908447266,79.4000015258789,2856900
2025-03-20 00:00:00-04:00,78.69000244140625,79.8499984741211,78.33999633789062,79.0199966430664,2167900
2025-03-21 00:00:00-04:00,78.5199966430664,78.72000122070312,77.3499984741211,78.45999908447266,4383500
2025-03-24 00:00:00-04:00,79.38999938964844,80.68000030517578,79.04000091552734,80.13999938964844,2266200
2025-03-25 00:00:00-04:00,79.81999969482422,80.69000244140625,79.56999969482422,80.2300033569336,1608000
2025-03-26 00:00:00-04:00,80.44000244140625,81.16000366210938,79.97000122070312,80.37000274658203,1938600
2025-03-27 00:00:00-04:00,80.38999938964844,80.86000061035156,79.47000122070312,80.12999725341797,2453100
2025-03-28 00:00:00-04:00,80.12999725341797,80.19999694824219,78.56999969482422,79.30999755859375,2545000
2025-03-31 00:00:00-04:00,79.0999984741211,79.76000213623047,78.26000213623047,79.2300033569336,2976900
2025-04-01 00:00:00-04:00,78.79000091552734,80.26000213623047,78.33000183105469,79.18000030517578,2411300
2025-04-02 00:00:00-04:00,78.11000061035156,80.30000305175781,78.0,79.91999816894531,2448100
2025-04-03 00:00:00-04:00,79.80000305175781,79.80000305175781,76.11000061035156,76.3499984741211,3957800
2025-04-04 00:00:00-04:00,75.93000030517578,76.0,72.55000305175781,72.62000274658203,3882100
2025-04-07 00:00:00-04:00,76.5,77.94999694824219,72.20999908447266,75.75,7731800
2025-04-08 00:00:00-04:00,74.52999877929688,77.16000366210938,72.2699966430664,73.2300033569336,5310600
2025-04-09 00:00:00-04:00,72.23999786376953,79.19999694824219,71.20999908447266,78.69999694824219,5874800
2025-04-10 00:00:00-04:00,77.30000305175781,77.30000305175781,72.9000015258789,75.41999816894531,3889600
2025-04-11 00:00:00-04:00,75.2699966430664,77.73999786376953,74.43000030517578,77.38999938964844,2224800
2025-04-14 00:00:00-04:00,77.69999694824219,79.88999938964844,76.9000015258789,79.52999877929688,2314400
2025-04-15 00:00:00-04:00,79.66999816894531,81.06999969482422,79.66999816894531,80.51000213623047,2596000
2025-04-16 00:00:00-04:00,79.83999633789062,80.48999786376953,78.08999633789062,79.0199966430664,2715700
2025-04-17 00:00:00-04:00,79.75,80.26000213623047,79.01000213623047,79.69999694824219,2033900
2025-04-21 00:00:00-04:00,78.61000061035156,79.19999694824219,76.91999816894531,77.80999755859375,3355000
2025-04-22 00:00:00-04:00,78.20999908447266,81.19999694824219,78.20999908447266,80.87000274658203,3339100
2025-04-23 00:00:00-04:00,82.01000213623047,83.68000030517578,81.63999938964844,81.83000183105469,3089600
2025-04-24 00:00:00-04:00,81.83000183105469,83.5999984741211,81.3499984741211,83.22000122070312,2308400
2025-04-25 00:00:00-04:00,82.76000213623047,83.48999786376953,81.87999725341797,82.81999969482422,2295400
2025-04-28 00:00:00-04:00,82.91999816894531,83.4800033569336,81.0999984741211,81.73999786376953,3945100
2025-04-29 00:00:00-04:00,81.16000366210938,83.0,80.4000015258789,82.69999694824219,5675400
2025-04-30 00:00:00-04:00,81.33999633789062,81.5,73.98999786376953,74.16999816894531,12497400
2025-05-01 00:00:00-04:00,74.73999786376953,77.27999877929688,73.94000244140625,76.58000183105469,5046000
2025-05-02 00:00:00-04:00,77.80999755859375,78.55999755859375,77.30000305175781,77.95999908447266,3253000
2025-05-05 00:00:00-04:00,77.30999755859375,78.52999877929688,76.94999694824219,77.0999984741211,2345700
2025-05-06 00:00:00-04:00,76.41000366210938,76.66000366210938,74.5199966430664,74.58999633789062,2672700
2025-05-07 00:00:00-04:00,74.5999984741211,75.66999816894531,74.0199966430664,75.33999633789062,3083900
2025-05-08 00:00:00-04:00,75.72000122070312,76.88999938964844,75.22000122070312,75.8499984741211,2326000
2025-05-09 00:00:00-04:00,75.93000030517578,76.06999969482422,74.16999816894531,74.56999969482422,2300000
2025-05-12 00:00:00-04:00,76.72000122070312,76.77999877929688,73.97000122070312,75.37999725341797,3687100
2025-05-13 00:00:00-04:00,75.37000274658203,76.08999633789062,74.9000015258789,75.18000030517578,2819600
2025-05-14 00:00:00-04:00,75.16999816894531,76.33000183105469,74.87999725341797,75.69000244140625,2698800
2025-05-15 00:00:00-04:00,75.87999725341797,76.27999877929688,75.12000274658203,76.05000305175781,2670100
2025-05-16 00:00:00-04:00,76.62000274658203,77.25,75.8499984741211,76.98999786376953,2618800
2025-05-19 00:00:00-04:00,75.95999908447266,77.19999694824219,75.7699966430664,76.91000366210938,2939000
2025-05-20 00:00:00-04:00,76.22000122070312,77.12000274658203,76.05999755859375,76.37000274658203,3421200
2025-05-21 00:00:00-04:00,75.76000213623047,76.37000274658203,73.95999908447266,73.95999908447266,3073100
2025-05-22 00:00:00-04:00,73.94999694824219,74.69999694824219,73.29000091552734,74.13999938964844,2980800
2025-05-23 00:00:00-04:00,73.38999938964844,74.08000183105469,73.25,73.98999786376953,1900400
2025-05-27 00:00:00-04:00,75.11000061035156,75.25,74.23999786376953,74.61000061035156,2720500
2025-05-28 00:00:00-04:00,74.66000366210938,75.0,74.1500015258789,74.23999786376953,1870700
2025-05-29 00:00:00-04:00,74.48999786376953,74.83000183105469,73.45999908447266,74.06999969482422,2135600
2025-05-30 00:00:00-04:00,74.0,74.01000213623047,71.94000244140625,73.55999755859375,6147200
